model,threshold,precision,recall,f1,specificity,fpr,accuracy,tn,fp,fn,tp
Semantics_Naive_Average,0.33,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.34,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.35,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.36,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.37,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.38,0.9301,0.9673,0.9484,0.2733,0.7267,0.9042,41,109,49,1451
Semantics_Naive_Average,0.39,0.9494,0.938,0.9437,0.5,0.5,0.8982,75,75,93,1407
Semantics_Naive_Average,0.4,0.9587,0.9287,0.9434,0.6,0.4,0.8988,90,60,107,1393
Semantics_Naive_Average,0.41,0.9624,0.922,0.9418,0.64,0.36,0.8964,96,54,117,1383
Semantics_Naive_Average,0.42,0.9641,0.914,0.9384,0.66,0.34,0.8909,99,51,129,1371
Semantics_Naive_Average,0.43,0.9681,0.9107,0.9385,0.7,0.3,0.8915,105,45,134,1366
Semantics_Naive_Average,0.44,0.9695,0.91,0.9388,0.7133,0.2867,0.8921,107,43,135,1365
Semantics_Naive_Average,0.45,0.9767,0.8933,0.9331,0.7867,0.2133,0.8836,118,32,160,1340
Semantics_Naive_Average,0.46,0.9794,0.8853,0.93,0.8133,0.1867,0.8788,122,28,172,1328
Semantics_Naive_Average,0.47,0.9793,0.882,0.9281,0.8133,0.1867,0.8758,122,28,177,1323
Semantics_Naive_Average,0.48,0.9836,0.8793,0.9285,0.8533,0.1467,0.877,128,22,181,1319
Semantics_Naive_Average,0.49,0.9842,0.874,0.9258,0.86,0.14,0.8727,129,21,189,1311
Semantics_Naive_Average,0.5,0.9809,0.616,0.7568,0.88,0.12,0.64,132,18,576,924
Semantics_Naive_Average,0.51,0.9781,0.4767,0.641,0.8933,0.1067,0.5145,134,16,785,715
Semantics_Naive_Average,0.52,0.976,0.434,0.6008,0.8933,0.1067,0.4758,134,16,849,651
Semantics_Naive_Average,0.53,0.9761,0.408,0.5755,0.9,0.1,0.4527,135,15,888,612
Semantics_Naive_Average,0.54,0.9754,0.3967,0.564,0.9,0.1,0.4424,135,15,905,595
Semantics_Naive_Average,0.55,0.978,0.3847,0.5522,0.9133,0.0867,0.4327,137,13,923,577
Semantics_Naive_Average,0.56,0.9807,0.3727,0.5401,0.9267,0.0733,0.423,139,11,941,559
Semantics_Naive_Average,0.57,0.9838,0.3653,0.5328,0.94,0.06,0.4176,141,9,952,548
Semantics_Naive_Average,0.58,0.9835,0.3567,0.5235,0.94,0.06,0.4097,141,9,965,535
Semantics_Naive_Average,0.59,0.9851,0.352,0.5187,0.9467,0.0533,0.4061,142,8,972,528
Semantics_Naive_Average,0.6,0.9848,0.3453,0.5114,0.9467,0.0533,0.4,142,8,982,518
Semantics_Naive_Average,0.61,0.9846,0.3413,0.5069,0.9467,0.0533,0.3964,142,8,988,512
